Name,Address,Home Price
Olivia Carter,12 Maple Street, $354233
Liam Thompson,88 Oak Ridge Drive, $482199
Emma Johnson,402 Pinecone Lane, $515822
Noah Williams,9 Birchwood Avenue, $297440
Ava Martinez,233 Cedar Crest Road, $623119
Sophia Lee,142 Walnut Circle, $580004
Jackson Harris,55 Willow Bend, $449900
Isabella Clark,774 Aspen Way, $702331
Mason Lewis,310 Forest Glen Drive, $389511
Mia Young,67 Orchard Lane, $612880
Ethan Hall,980 Juniper Trail, $431002
Amelia King,102 Evergreen Road, $512300
Lucas Wright,47 Riverbend Court, $740220
Harper Scott,311 Brookside Lane, $395800
Elijah Green,129 Summit Drive, $855100
Charlotte Adams,650 Meadow Ridge Road, $477910
Benjamin Nelson,23 Woodland Terrace, $389400
Evelyn Walker,78 Lakeview Drive, $630500
Henry Baker,210 Parkside Avenue, $520220
Abigail Perez,19 Heather Way, $449995
Sebastian Rivera,500 Sunset Hill Road, $568300
Emily Campbell,922 Ivy Street, $334900
William Mitchell,184 Golden Leaf Lane, $699200
Scarlett Roberts,65 Morning Dew Court, $585330
James Carter,506 Bayshore Drive, $812000
Victoria Turner,72 Harbor Lane, $420500
Alexander Torres,304 Pine Ridge Way, $738400
Grace Phillips,140 Moss Hollow Road, $511770
Daniel Parker,988 Crestline Road, $629110
Chloe Evans,35 Sparrow Way, $360300
Matthew Edwards,450 Old Stone Road, $470220
Lily Collins,23 Blossom Street, $552900
Samuel Stewart,331 Windy Hill Road, $640050
Hannah Sanchez,800 Gardenia Way, $710440
David Morris,44 Sunny Brook Lane, $291880
Aria Rogers,177 Whispering Pines, $499300
Joseph Reed,608 Lantern Lane, $520990
Penelope Cook,701 Shadow Creek Drive, $830440
Wyatt Morgan,59 High Ridge Road, $420880
Ellie Bell,904 Juniper Bend, $356600
John Peterson,300 Starlight Court, $780300
Aubrey Murphy,92 Firefly Drive, $599440
Nathan Bailey,212 Red Oak Trail, $502011
Stella Rivera,678 Winding Creek Road, $432200
Caleb Cooper,770 Goldenrod Lane, $612550
Nora Richardson,55 Blackberry Street, $369900
Jack Cox,800 Eagle Ridge Way, $708800
Zoey Howard,34 Sunrise Loop, $410770
Hunter Ward,451 Sunset View Road, $594221
Addison Gray,234 Northbrook Drive, $355000
Levi James,968 Meadow Lake Court, $605550
Paisley Watson,71 Willow Ridge Way, $333700
Gabriel Hughes,404 Timberline Trail, $510880
Riley Bryant,60 Bluebird Court, $449330
Isaac Russell,1012 Summit Crest Road, $832440
Nora Griffin,508 Whisper Creek Road, $477990
Luke Diaz,910 Orchard Crest Lane, $520330
Hazel Hayes,37 Brook Meadow Drive, $392880
Owen Foster,828 Cedar Ridge Loop, $689100
Layla Simmons,404 Maple Glen Avenue, $560110
Julian Butler,311 Hidden Lake Road, $595200
Violet Bryant,123 Canyon View Lane, $350770
Aiden Simmons,75 Fieldstone Drive, $479900
Avery Barnes,222 Oakview Street, $502660
Hudson Powell,442 Long Meadow Way, $610880
Lillian Flores,39 Wildflower Road, $393200
Dylan Rivera,801 Bramblewood Lane, $642110
Zoey Jenkins,17 Creekside Court, $450330
Eli Perry,700 Aspen Crest Drive, $720500
Lucy Coleman,304 Mountain Shadow Road, $385900
Michael Ortiz,912 Deepwood Trail, $545990
Aurora Foster,66 Maple Springs Road, $382700
Logan Bailey,233 Cedar Bluff Way, $493880
Savannah Kim,400 Redwood Heights, $630210
Jayden Reed,87 Old Mill Lane, $430990
Riley Price,298 Pheasant Run Road, $392100
Christopher James,715 Briarwood Court, $749200
Brooklyn Medina,187 Southwind Drive, $410300
Leah Hughes,970 Sparrow Lane, $352660
Grayson Hill,344 Thunder Ridge Court, $802700
Nora Martinez,10 Riverstone Circle, $499900
Asher Scott,618 Meadow Run Way, $689330
Victoria Kelly,88 Whisper Lane, $460880
Theo Ward,72 Pine Hill Road, $540770
Eleanor Perez,501 Maplewood Drive, $434110
Andrew Ross,900 Star Valley Road, $822500
Madison Cooper,420 Briar Ridge Drive, $515900
Joshua Rivera,807 Sunset Lake Court, $749330
Aurora Long,31 Cedar Brook Road, $368800
Connor Bailey,101 Havenwood Drive, $564200
Camila Torres,502 Morning Ridge Way, $399990
Isaiah Lopez,775 Spring Hollow Road, $630550
Nina Simmons,47 Crestview Court, $508800
Levi Brooks,812 Hillcrest Avenue, $570330
Sadie Price,650 Pine Meadow Road, $420660
Julian Adams,221 Westwood Circle, $739990
